CONCEPT_NAME,TYPE,DT4HID,MODEL_TYPE,DATE
hämmare av renin-angiotensinsysteMedt,Medication,DT4H-MedR1,DT4H,2024-06-01
ACE-hämmare,Medication,DT4H-MedR13,DT4H,2024-06-01
angiotensin 2-receptorantagonist,Medication,DT4H-MedR11,DT4H,2024-06-01
läkeMedel som endast innehåller sakubitril och valsartan,Medication,DT4H-Med2,DT4H,2024-06-01
aldosteronantagonister,Medication,DT4H-MedM1,DT4H,2024-06-01
diuretika,Medication,DT4H-Med1,DT4H,2024-06-01
loopdiuretikum,Medication,DT4H-MedL1,DT4H,2024-06-01
kalciumkanalblockerare,Medication,DT4H-MedC1,DT4H,2024-06-01
trombocytaggregationshämmare,Medication,DT4H-MedP1,DT4H,2024-06-01
antikoagulans,Medication,DT4H-MedCO1,DT4H,2024-06-01
HMG-CoA-reduktashämmare,Medication,DT4H-MedS1,DT4H,2024-06-01
digitalisglykosid,Medication,DT4H-MedG1,DT4H,2024-06-01
betablockerare,Medication,DT4H-MedBB1,DT4H,2024-06-01
natriumkanalblockerare,Medication,DT4H-MedRHY11,DT4H,2024-06-01
ivabradin,Medication,DT4H-MedIV1,DT4H,2024-06-01
"hämmare av natrium-glukossymportör, subtyp 2",Medication,DT4H-MedSG1,DT4H,2024-06-01
hämmare av renin-angiotensinsysteMedt,Medication,DT4H-MedR1,DT4H,2024-06-01
angiotensin 2-receptorantagonist,Medication,DT4H-MedR11,DT4H,2024-06-01
azilsartanMedoxomilkalium,Medication,DT4H-MedR113,DT4H,2024-06-01
irbesartanhydroklorid,Medication,DT4H-MedR114,DT4H,2024-06-01
azilsartanMedoxomil,Medication,DT4H-MedR115,DT4H,2024-06-01
azilsartan,Medication,DT4H-MedR116,DT4H,2024-06-01
olMedsartanMedoxomil,Medication,DT4H-MedR117,DT4H,2024-06-01
olMedsartan,Medication,DT4H-MedR118,DT4H,2024-06-01
eprosartan,Medication,DT4H-MedR119,DT4H,2024-06-01
telmisartan,Medication,DT4H-MedR120,DT4H,2024-06-01
kandesartancilexetil,Medication,DT4H-MedR121,DT4H,2024-06-01
irbesartan,Medication,DT4H-MedR122,DT4H,2024-06-01
valsartan,Medication,DT4H-MedR123,DT4H,2024-06-01
losartan,Medication,DT4H-MedR124,DT4H,2024-06-01
kandesartan,Medication,DT4H-MedR125,DT4H,2024-06-01
eprosartanMedsilat,Medication,DT4H-MedR126,DT4H,2024-06-01
eprosartanMedsilat,Medication,DT4H-MedR126,DT4H,2024-06-01
losartankalium,Medication,DT4H-MedR127,DT4H,2024-06-01
ACE-hämmare,Medication,DT4H-MedR13,DT4H,2024-06-01
lisinoprildihydrat,Medication,DT4H-MedR131,DT4H,2024-06-01
"lisinopril, vattenfri",Medication,DT4H-MedR132,DT4H,2024-06-01
"cilazapril, vattenfri",Medication,DT4H-MedR133,DT4H,2024-06-01
perindopril-tert-butylaminmonohydrat,Medication,DT4H-MedR134,DT4H,2024-06-01
perindopril-tert-butylaminmonohydrat,Medication,DT4H-MedR134,DT4H,2024-06-01
enalaprilnatrium,Medication,DT4H-MedR135,DT4H,2024-06-01
perindopriltosilat,Medication,DT4H-MedR136,DT4H,2024-06-01
cilazaprilmonohydrat,Medication,DT4H-MedR137,DT4H,2024-06-01
spirapril,Medication,DT4H-MedR138,DT4H,2024-06-01
zofenoprilatarginin,Medication,DT4H-MedR139,DT4H,2024-06-01
spirapril,Medication,DT4H-MedR138,DT4H,2024-06-01
zofenoprilatarginin,Medication,DT4H-MedR139,DT4H,2024-06-01
zofenoprilat,Medication,DT4H-MedR140,DT4H,2024-06-01
zofenoprilkalcium,Medication,DT4H-MedR141,DT4H,2024-06-01
zofenopril,Medication,DT4H-MedR142,DT4H,2024-06-01
delaprilhydroklorid,Medication,DT4H-MedR143,DT4H,2024-06-01
delapril,Medication,DT4H-MedR144,DT4H,2024-06-01
perindoprilarginin,Medication,DT4H-MedR145,DT4H,2024-06-01
imidapril,Medication,DT4H-MedR146,DT4H,2024-06-01
cilazapril,Medication,DT4H-MedR147,DT4H,2024-06-01
imidaprilhydroklorid,Medication,DT4H-MedR148,DT4H,2024-06-01
enalaprilmaleat,Medication,DT4H-MedR149,DT4H,2024-06-01
kaptopril,Medication,DT4H-MedR150,DT4H,2024-06-01
kinaprilhydroklorid,Medication,DT4H-MedR151,DT4H,2024-06-01
kinapril,Medication,DT4H-MedR152,DT4H,2024-06-01
lisinopril,Medication,DT4H-MedR153,DT4H,2024-06-01
ramipril,Medication,DT4H-MedR154,DT4H,2024-06-01
trandolapril,Medication,DT4H-MedR155,DT4H,2024-06-01
moexipril,Medication,DT4H-MedR156,DT4H,2024-06-01
perindopril,Medication,DT4H-MedR157,DT4H,2024-06-01
enalapril,Medication,DT4H-MedR158,DT4H,2024-06-01
benazepril,Medication,DT4H-MedR159,DT4H,2024-06-01
fosinopril,Medication,DT4H-MedR160,DT4H,2024-06-01
perindopril-tert-butylamin,Medication,DT4H-MedR161,DT4H,2024-06-01
perindopril-tert-butylamin,Medication,DT4H-MedR161,DT4H,2024-06-01
benazeprilhydroklorid,Medication,DT4H-MedR162,DT4H,2024-06-01
fosinoprilnatrium,Medication,DT4H-MedR163,DT4H,2024-06-01
moexiprilhydroklorid,Medication,DT4H-MedR164,DT4H,2024-06-01
enalaprilat,Medication,DT4H-MedR165,DT4H,2024-06-01
reninhämmare,Medication,DT4-MedR17,DT4H,2024-06-01
aliskiren,Medication,DT4-MedR171,DT4H,2024-06-01
aliskirenfumarat,Medication,DT4-MedR172,DT4H,2024-06-01
ACE-hämmare,Medication,DT4H-MedR13,DT4H,2024-06-01
lisinoprildihydrat,Medication,DT4H-MedR131,DT4H,2024-06-01
"lisinopril, vattenfri",Medication,DT4H-MedR132,DT4H,2024-06-01
"cilazapril, vattenfri",Medication,DT4H-MedR133,DT4H,2024-06-01
perindopril-tert-butylaminmonohydrat,Medication,DT4H-MedR134,DT4H,2024-06-01
perindopril-tert-butylaminmonohydrat,Medication,DT4H-MedR134,DT4H,2024-06-01
enalaprilnatrium,Medication,DT4H-MedR135,DT4H,2024-06-01
perindopriltosilat,Medication,DT4H-MedR136,DT4H,2024-06-01
cilazaprilmonohydrat,Medication,DT4H-MedR137,DT4H,2024-06-01
angiotensin 2-receptorantagonist,Medication,DT4H-MedR11,DT4H,2024-06-01
azilsartanMedoxomilkalium,Medication,DT4H-MedR113,DT4H,2024-06-01
irbesartanhydroklorid,Medication,DT4H-MedR114,DT4H,2024-06-01
azilsartanMedoxomil,Medication,DT4H-MedR115,DT4H,2024-06-01
azilsartan,Medication,DT4H-MedR116,DT4H,2024-06-01
olMedsartanMedoxomil,Medication,DT4H-MedR117,DT4H,2024-06-01
olMedsartan,Medication,DT4H-MedR118,DT4H,2024-06-01
eprosartan,Medication,DT4H-MedR119,DT4H,2024-06-01
telmisartan,Medication,DT4H-MedR120,DT4H,2024-06-01
kandesartancilexetil,Medication,DT4H-MedR121,DT4H,2024-06-01
irbesartan,Medication,DT4H-MedR122,DT4H,2024-06-01
valsartan,Medication,DT4H-MedR123,DT4H,2024-06-01
losartan,Medication,DT4H-MedR124,DT4H,2024-06-01
kandesartan,Medication,DT4H-MedR125,DT4H,2024-06-01
eprosartanMedsilat,Medication,DT4H-MedR126,DT4H,2024-06-01
eprosartanMedsilat,Medication,DT4H-MedR126,DT4H,2024-06-01
losartankalium,Medication,DT4H-MedR127,DT4H,2024-06-01
läkeMedel som endast innehåller sakubitril och valsartan,Medication,DT4H-Med2,DT4H,2024-06-01
aldosteronantagonister,Medication,DT4H-MedM1,DT4H,2024-06-01
finerenon,Medication,DT4H-MedM111,DT4H,2024-06-01
kaliumkanrenoat,Medication,DT4H-MedM112,DT4H,2024-06-01
eplerenon,Medication,DT4H-MedM113,DT4H,2024-06-01
spironolakton,Medication,DT4H-MedM114,DT4H,2024-06-01
kanrenon,Medication,DT4H-MedM115,DT4H,2024-06-01
diuretika,Medication,DT4H-Med1,DT4H,2024-06-01
acetazolamid,Medication,DT4H-Med111,DT4H,2024-06-01
aminoMedtradin,Medication,DT4H-Med112,DT4H,2024-06-01
amisoMedtradin,Medication,DT4H-Med113,DT4H,2024-06-01
klorazanil,Medication,DT4H-Med114,DT4H,2024-06-01
cikletanin,Medication,DT4H-Med115,DT4H,2024-06-01
cikletaninhydroklorid,Medication,DT4H-Med116,DT4H,2024-06-01
konivaptan,Medication,DT4H-Med117,DT4H,2024-06-01
fluMedtiazid,Medication,DT4H-Med119,DT4H,2024-06-01
pamabrom,Medication,DT4H-Med120,DT4H,2024-06-01
tolvaptan,Medication,DT4H-Med121,DT4H,2024-06-01
kvicksilverdiuretika,Medication,DT4H-Med13,DT4H,2024-06-01
Medrsalylnatrium,Medication,DT4H-Med131,DT4H,2024-06-01
Medrsalyl,Medication,DT4H-Med132,DT4H,2024-06-01
MedrkaptoMedrin,Medication,DT4H-Med133,DT4H,2024-06-01
Medrallurid,Medication,DT4H-Med134,DT4H,2024-06-01
klorMedrodrin,Medication,DT4H-Med135,DT4H,2024-06-01
Medretoxyllinprokain,Medication,DT4H-Med136,DT4H,2024-06-01
Medrkumatilin,Medication,DT4H-Med137,DT4H,2024-06-01
MedrkaptoMedrinnatrium,Medication,DT4H-Med138,DT4H,2024-06-01
osmotiska diuretika,Medication,DT4H-Med14,DT4H,2024-06-01
mannitol,Medication,DT4H-Med141,DT4H,2024-06-01
urea,Medication,DT4H-Med142,DT4H,2024-06-01
isosorbid,Medication,DT4H-Med143,DT4H,2024-06-01
kaliumsparande diuretika,Medication,DT4H-Med15,DT4H,2024-06-01
"amiloridhydroklorid, vattenfri",Medication,DT4H-Med151,DT4H,2024-06-01
amiloridhydrokloriddihydrat,Medication,DT4H-Med154,DT4H,2024-06-01
amiloridhydroklorid,Medication,DT4H-Med156,DT4H,2024-06-01
amilorid,Medication,DT4H-Med157,DT4H,2024-06-01
triamteren,Medication,DT4H-Med159,DT4H,2024-06-01
diuretikum innehållande purinderivat,Medication,DT4H-Med17,DT4H,2024-06-01
kolinteofyllinat,Medication,DT4H-Med171,DT4H,2024-06-01
teobromin,Medication,DT4H-Med172,DT4H,2024-06-01
saluretikum,Medication,DT4H-Med18,DT4H,2024-06-01
butizid,Medication,DT4H-Med181,DT4H,2024-06-01
buMedtanid,Medication,DT4H-Med182,DT4H,2024-06-01
furosemid,Medication,DT4H-Med183,DT4H,2024-06-01
klortalidon,Medication,DT4H-Med184,DT4H,2024-06-01
etakrynsyra,Medication,DT4H-Med185,DT4H,2024-06-01
klorotiazid,Medication,DT4H-Med186,DT4H,2024-06-01
